"","newfile","analyze","morphotype","seedling_id","seedling_sp","soil_type","percent_hq","percent_lq"
"1","3094e_QC.scf",0,"Q",3094,"Q","C",0.5,83.5
"2","3094f_QC.scf",0,"Q",3094,"Q","C",0.2,75.5
"3","3487f_QQ.scf",0,"C",3487,"Q","Q",2.9,66.9
"4","3487h_QQ.scf",0,"A",3487,"Q","Q",0,93.1
"5","3678f_QQ.scf",1,"C",3678,"Q","Q",10.3,29.3
"6","4040a_QP.scf",0,"C",4040,"Q","P",2.1,69.9
"7","3579h_QQ.scf",0,"L",3579,"Q","Q",0.2,83.8
"8","3137e_QC.scf",0,"Q",3137,"Q","C",0,86.9
"9","3206g_QC.scf",0,"Q",3206,"Q","C",1.1,72.9
"10","4181c_QP.scf",0,"C",4181,"Q","P",0,84
"11","4181e_QP.scf",1,"E",4181,"Q","P",5.1,50.8
"12","4181f_QP.scf",0,"D",4181,"Q","P",2.8,57.1
"13","4181g_QP.scf",0,"L",4181,"Q","P",3.2,59.6
"14","4084c_QP.scf",0,"B",4084,"Q","P",0.2,71.2
"15","4084d_QP.scf",0,"D",4084,"Q","P",2.3,62.5
"16","4084e_QP.scf",0,"D",4084,"Q","P",2.3,59.3
"17","4084g_QP.scf",0,"D",4084,"Q","P",2.6,59.3
"18","3053a_QC.scf",0,"Q",3053,"Q","C",1.9,58.5
"19","3053b_QC.scf",0,"Q",3053,"Q","C",1.5,66.8
"20","3053e_QC.scf",0,"Q",3053,"Q","C",3.9,60.5
"21","3053h_QC.scf",0,"Q",3053,"Q","C",2.1,59.5
"22","3218a_QC.scf",0,"Q",3218,"Q","C",2.8,55.9
"23","3218b_QC.scf",0,"Q",3218,"Q","C",3,54.8
"24","3218f_QC.scf",0,"Q",3218,"Q","C",0.4,76.5
"25","3218g_QC.scf",0,"Q",3218,"Q","C",1.5,69.5
"26","3218h_QC.scf",0,"Q",3218,"Q","C",3.8,57.3
"27","3091a_QC.scf",0,"Q",3091,"Q","C",2.6,61.8
"28","3091b_QC.scf",0,"Q",3091,"Q","C",1.4,58.4
"29","3091c_QC.scf",0,"Q",3091,"Q","C",2.4,66.5
"30","3091d_QC.scf",0,"Q",3091,"Q","C",3.6,54.3
"31","3091e_QC.scf",0,"Q",3091,"Q","C",3.4,57.6
"32","3091f_QC.scf",0,"Q",3091,"Q","C",2.1,62.3
"33","3091g_QC.scf",0,"Q",3091,"Q","C",2,65.5
"34","3098a_QC.scf",0,"B",3098,"Q","C",2.3,70.4
"35","3098c_QC.scf",0,"Q",3098,"Q","C",2.8,64.6
"36","3098e_QC.scf",0,"B",3098,"Q","C",3.4,63.8
"37","3070c_QC.scf",0,"Q",3070,"Q","C",4,57.1
"38","3070h_QC.scf",0,"Q",3070,"Q","C",2.3,66.6
"39","3217b_QC.scf",0,"Q",3217,"Q","C",2.9,57.4
"40","3217f_QC.scf",0,"Q",3217,"Q","C",3.9,54.7
"41","3221d_QC.scf",0,"Q",3221,"Q","C",2.6,56.6
"42","3221h_QC.scf",0,"Q",3221,"Q","C",3,62.4
"43","4216c_PP.scf",0,"G",4216,"P","P",2.8,56.7
"44","4216g_PP.scf",0,"G",4216,"P","P",1.3,58.8
"45","4208c_PP.scf",1,"M",4208,"P","P",15.3,39
"46","4208d_PP.scf",0,"G",4208,"P","P",1.2,73.6
"47","4208f_PP.scf",1,"G",4208,"P","P",5.5,55.2
"48","4418h_PP.scf",0,"G",4418,"P","P",3.6,64.5
"49","4383a_PP.scf",0,"G",4383,"P","P",0.9,68.1
"50","4383b_PP.scf",0,"G",4383,"P","P",2.6,51.6
"51","4383d_PP.scf",0,"G",4383,"P","P",1.7,59.1
"52","4383e_PP.scf",0,"G",4383,"P","P",3.5,47.8
"53","4383f_PP.scf",0,"G",4383,"P","P",2.6,57.3
"54","4348b_PP.scf",1,"G",4348,"P","P",69.7,5.5
"55","4348e_PP.scf",0,"G",4348,"P","P",2.5,52.5
"56","3659a_QQ.scf",0,"A",3659,"Q","Q",0,86.5
"57","3659h_QQ.scf",0,"N",3659,"Q","Q",3.7,46.3
"58","4173b_QP.scf",0,"B",4173,"Q","P",2.5,61.8
"59","4173c_QP.scf",0,"B",4173,"Q","P",0.7,71.5
"60","4173d_QP.scf",0,"B",4173,"Q","P",2.8,43.9
"61","3608a_QQ.scf",0,"L",3608,"Q","Q",0.2,76.6
"62","3608b_QQ.scf",0,"A",3608,"Q","Q",0,88.8
"63","3608c_QQ.scf",1,"C",3608,"Q","Q",32.8,21.8
"64","3548c_QQ.scf",0,"D",3548,"Q","Q",0,96
"65","3548d_QQ.scf",0,"B",3548,"Q","Q",0.2,84.3
"66","3548g_QQ.scf",0,"B",3548,"Q","Q",1.7,57.2
"67","3548h_QQ.scf",0,"B",3548,"Q","Q",0.5,92.3
"68","4022a_QP.scf",0,"L",4022,"Q","P",0.3,72
"69","4022b_QP.scf",0,"E",4022,"Q","P",2.5,58
"70","4022c_QP.scf",0,"D",4022,"Q","P",1.6,70.8
"71","4022d_QP.scf",0,"D",4022,"Q","P",1.3,74.1
"72","4022e_QP.scf",0,"D",4022,"Q","P",0.8,68.8
"73","4022f_QP.scf",NA,"D",4022,"Q","P",NA,NA
"74","4022h_QP.scf",0,"D",4022,"Q","P",1.1,72.9
"75","3641a_QQ.scf",0,"D",3641,"Q","Q",1.7,61
"76","3641e_QQ.scf",0,"B",3641,"Q","Q",0.3,81.8
"77","3641f_QQ.scf",0,"L",3641,"Q","Q",0,82.7
"78","3641g_QQ.scf",0,"A",3641,"Q","Q",1.7,59.4
"79","3641h_QQ.scf",0,"A",3641,"Q","Q",0,91.9
"80","3652a_QQ.scf",0,"L",3652,"Q","Q",0.2,86.6
"81","3652b_QQ.scf",0,"L",3652,"Q","Q",1.3,68.3
"82","3652c_QQ.scf",1,"L",3652,"Q","Q",5.2,35.1
"83","3652d_QQ.scf",0,"L",3652,"Q","Q",0.8,61.4
"84","3652e_QQ.scf",1,"L",3652,"Q","Q",39,20.1
"85","3652g_QQ.scf",0,"D",3652,"Q","Q",4.5,49.6
"86","3604b_QQ.scf",1,"N",3604,"Q","Q",6.2,39
"87","3604c_QQ.scf",1,"N",3604,"Q","Q",10.1,37.3
"88","3604d_QQ.scf",0,"A",3604,"Q","Q",2.2,64
"89","3604e_QQ.scf",0,"D",3604,"Q","Q",2.3,53
"90","3604g_QQ.scf",0,"D",3604,"Q","Q",3.4,39.4
"91","3604h_QQ.scf",1,"L",3604,"Q","Q",6.7,30.8
"92","4244b_PP.scf",0,"G",4244,"P","P",0.2,88.8
"93","4244c_PP.scf",0,"F",4244,"P","P",2.3,60.3
"94","3886a_PQ.scf",0,"Q",3886,"P","Q",0,87.4
"95","3875d_PQ.scf",1,"G",3875,"P","Q",78.5,3.7
"96","3875g_PQ.scf",1,"G",3875,"P","Q",30,21.4
