new_column,new_row,new_plate,ghecto_plate,amp_success,old_column,old_well
1,B,dmc_1,morpho5,1,1,E
1,C,dmc_1,morpho5,1,1,F
1,D,dmc_1,morpho5,1,1,H
1,E,dmc_1,morpho5,1,2,C
1,F,dmc_1,morpho5,1,2,D
1,G,dmc_1,morpho5,1,2,E
1,H,dmc_1,morpho5,1,2,F
2,A,dmc_1,morpho5,1,2,H
2,B,dmc_1,morpho5,1,3,C
2,C,dmc_1,morpho5,1,3,D
2,D,dmc_1,morpho5,1,3,E
2,E,dmc_1,morpho5,1,3,F
2,F,dmc_1,morpho5,1,3,G
2,G,dmc_1,morpho5,1,3,H
2,H,dmc_1,morpho5,1,4,B
3,A,dmc_1,morpho5,1,4,C
3,B,dmc_1,morpho5,1,4,D
3,C,dmc_1,morpho5,1,4,E
3,D,dmc_1,morpho5,1,4,F
3,E,dmc_1,morpho5,1,4,G
3,F,dmc_1,morpho5,1,5,A
3,G,dmc_1,morpho5,1,5,B
3,H,dmc_1,morpho5,1,5,C
4,A,dmc_1,morpho5,1,5,D
4,B,dmc_1,morpho5,1,5,F
4,C,dmc_1,morpho5,1,5,G
4,D,dmc_1,morpho5,1,5,H
4,E,dmc_1,morpho5,1,6,A
4,F,dmc_1,morpho5,1,6,B
4,G,dmc_1,morpho5,1,6,D
4,H,dmc_1,morpho5,1,6,E
5,A,dmc_1,morpho5,1,6,F
5,B,dmc_1,morpho5,1,6,G
5,C,dmc_1,morpho5,1,6,H
5,D,dmc_1,morpho5,1,7,B
5,E,dmc_1,morpho5,1,7,C
5,F,dmc_1,morpho5,1,7,D
5,G,dmc_1,morpho5,1,7,F
5,H,dmc_1,morpho5,1,7,G
6,A,dmc_1,morpho5,1,7,H
6,B,dmc_1,morpho5,1,8,D
6,C,dmc_1,morpho5,1,8,E
6,D,dmc_1,morpho5,1,8,F
6,E,dmc_1,morpho5,1,8,H
6,F,dmc_1,morpho5,1,9,A
6,G,dmc_1,morpho5,1,9,B
6,H,dmc_1,morpho5,1,9,D
