seedling_id,plate,column,row,morphotype,comb_column,comb_row
3860,101,1,D,Z,1,A
3999,101,2,F,O,1,B
3999,101,2,G,O,1,C
3999,101,2,H,O,1,D
4435,101,3,A,O,1,E
4435,101,3,D,O,1,F
4435,101,3,E,O,1,G
4435,101,3,F,O,1,H
4435,101,3,G,O,2,A
4435,101,3,H,O,2,B
3578,101,4,C,B,2,C
3745,101,9,E,X,2,D
4242,102,1,B,X,2,E
4332,102,6,E,Z,2,F
4332,102,6,H,Z,2,G
3551,102,8,B,D,2,H
3773,102,10,G,W,3,A
3473,102,11,C,W,3,B
3473,102,11,E,W,3,C
3473,102,11,H,W,3,D
4163,103,1,F,D,3,E
3937,103,2,A,W,3,F
3591,103,3,G,D,3,G
3559,103,5,E,D,3,H
3824,103,6,F,X,4,A
3664,103,7,A,E,4,B
3664,103,7,B,E,4,C
3664,103,7,E,E,4,D
3664,103,7,F,E,4,E
3664,103,7,G,E,4,F
3664,103,7,H,E,4,G
3547,103,9,A,A,4,H
3547,103,9,B,A,5,A
3650,103,11,C,F,5,B
3650,103,11,E,F,5,C
3665,104,1,E,F,5,D
3549,104,12,F,G,5,E
3553,105,3,B,A,5,F
3051,105,9,H,B,5,G
4047,105,11,B,D,5,H
3570,105,12,A,H,6,A
3570,105,12,E,H,6,B
3570,105,12,F,H,6,C
3570,105,12,G,H,6,D
3570,105,12,H,H,6,E
3562,106,1,D,H,6,F
3562,106,1,E,H,6,G
3562,106,1,F,H,6,H
3562,106,1,G,H,7,A
3562,106,1,H,H,7,B
4026,106,3,C,D,7,C
4026,106,3,H,D,7,D
3496,106,4,C,D,7,E
3496,106,4,F,D,7,F
3496,106,4,H,D,7,G
4088,106,6,F,G,7,H
3617,107,3,D,G,8,A
3662,107,5,C,A,8,B
4175,107,6,B,A,8,C
3913,107,10,F,X,8,D
3643,109,3,E,E,8,E
3349,109,4,E,X,8,F
3938,109,7,C,Z,8,G
3700,109,11,A,G,8,H
3502,110,9,A,E,9,A
3502,110,9,D,E,9,B
3026,111,1,A,F,9,C
3026,111,1,B,F,9,D
3525,111,1,E,E,9,E
3048,111,2,D,B,9,F
3048,111,2,G,B,9,G
3539,111,5,C,B,9,H
3504,111,7,A,G,10,A
