seedling_id,row,seedling_sp,soil_type,plate,column
3487,f,Q,Q,219023,11
3678,b,Q,Q,219024,1
3678,c,Q,Q,219024,1
4040,a,Q,P,219024,2
4040,b,Q,P,219024,2
4040,f,Q,P,219024,2
4126,d,Q,P,219024,3
4126,f,Q,P,219024,3
4125,b,Q,P,219024,4
4125,h,Q,P,219024,4
4125,h,Q,P,219024,4
3579,b,Q,Q,219024,5
3579,d,Q,Q,219024,5
3579,g,Q,Q,219024,5
3579,h,Q,Q,219024,5
4128,c,Q,P,219024,6
4128,d,Q,P,219024,6
4128,g,Q,P,219024,6
3137,h,Q,C,219024,7
3206,c,Q,C,219024,8
3206,f,Q,C,219024,8
3206,g,Q,C,219024,8
4179,e,Q,P,219024,9
4179,h,Q,P,219024,9
4181,a,Q,P,219024,10
4181,b,Q,P,219024,10
4181,d,Q,P,219024,10
4181,g,Q,P,219024,10
4181,g,Q,P,219024,10
4171,a,Q,P,219024,11
4171,b,Q,P,219024,11
4171,d,Q,P,219024,11
4084,a,Q,P,219024,12
4084,d,Q,P,219024,12
4084,e,Q,P,219024,12
4084,f,Q,P,219024,12
4084,g,Q,P,219024,12
4084,h,Q,P,219024,12
4084,h,Q,P,219024,12
3053,a,Q,C,219025,1
3053,b,Q,C,219025,1
3053,c,Q,C,219025,1
3053,e,Q,C,219025,1
3053,h,Q,C,219025,1
3053,h,Q,C,219025,1
3218,e,Q,C,219025,2
3218,f,Q,C,219025,2
3218,g,Q,C,219025,2
3218,h,Q,C,219025,2
3091,b,Q,C,219025,3
3091,c,Q,C,219025,3
3091,e,Q,C,219025,3
3091,f,Q,C,219025,3
3091,g,Q,C,219025,3
3098,a,Q,C,219025,4
3098,c,Q,C,219025,4
3098,e,Q,C,219025,4
3098,f,Q,C,219025,4
3070,c,Q,C,219025,5
3070,g,Q,C,219025,5
3070,h,Q,C,219025,5
3217,b,Q,C,219025,6
3217,f,Q,C,219025,6
3221,d,Q,C,219025,7
3221,h,Q,C,219025,7
4216,g,P,P,219025,8
4208,d,P,P,219025,9
4208,f,P,P,219025,9
4418,f,P,P,219025,10
4418,h,P,P,219025,10
4383,b,P,P,219025,11
4383,d,P,P,219025,11
4383,f,P,P,219025,11
4348,d,P,P,219025,12
4348,h,P,P,219025,12
3659,a,Q,Q,219026,1
3659,h,Q,Q,219026,1
4173,a,Q,P,219026,2
4173,b,Q,P,219026,2
4173,c,Q,P,219026,2
4173,d,Q,P,219026,2
4173,e,Q,P,219026,2
4173,g,Q,P,219026,2
4173,h,Q,P,219026,2
3608,b,Q,Q,219026,3
3608,e,Q,Q,219026,3
3548,e,Q,Q,219026,4
3548,f,Q,Q,219026,4
3548,g,Q,Q,219026,4
4022,b,Q,P,219026,5
4022,c,Q,P,219026,5
4022,d,Q,P,219026,5
4022,h,Q,P,219026,5
3641,a,Q,Q,219026,6
3641,g,Q,Q,219026,6
3652,b,Q,Q,219026,7
3652,f,Q,Q,219026,7
3652,g,Q,Q,219026,7
3604,a,Q,Q,219026,8
3604,d,Q,Q,219026,8
3604,e,Q,Q,219026,8
3604,f,Q,Q,219026,8
3604,g,Q,Q,219026,8
4244,a,P,P,219026,9
4244,e,P,P,219026,9
4234,e,P,P,219026,10
4234,g,P,P,219026,10
4202,b,P,P,219026,11
4377,h,P,P,219026,12
3892,c,P,Q,219027,7
3322,a,P,C,219028,1
3322,c,P,C,219028,1
3309,d,P,C,219028,7
